Date,Price,Open,High,Low,Vol.,Change %
5/7/2016,"4,027.80","4,037.90","4,088.00","4,017.80",45.94M,0.75%
4/7/2016,"3,997.80","4,007.80","4,027.80","3,977.80",38.77M,0.25%
1/7/2016,"3,987.80","3,987.80","4,047.90","3,977.80",52.75M,0.51%
30/06/2016,"3,967.70","3,987.80","4,037.90","3,957.70",32.05M,0.76%
29/06/2016,"3,937.70","3,887.60","3,977.80","3,877.60",41.55M,1.55%
28/06/2016,"3,877.60","3,867.50","3,937.70","3,857.50",17.06M,-0.77%
27/06/2016,"3,907.60","3,837.50","3,907.60","3,777.40",29.89M,0.52%
24/06/2016,"3,887.60","3,997.80","4,007.80","3,737.30",113.53M,-3.24%
23/06/2016,"4,017.80","3,957.70","4,037.90","3,957.70",37.48M,1.26%
22/06/2016,"3,967.70","3,927.70","3,997.80","3,907.60",21.31M,1.02%
21/06/2016,"3,927.70","3,887.60","3,977.80","3,887.60",33.66M,2.08%
20/06/2016,"3,847.50","3,807.40","3,847.50","3,777.40",15.36M,2.67%
17/06/2016,"3,747.30","3,797.40","3,837.50","3,747.30",52.76M,-1.84%
16/06/2016,"3,817.40","3,807.40","3,877.60","3,807.40",26.23M,0.26%
15/06/2016,"3,807.40","3,797.40","3,877.60","3,767.30",19.85M,0.26%
14/06/2016,"3,797.40","3,647.10","3,797.40","3,627.10",32.10M,3.84%
13/06/2016,"3,657.10","3,697.20","3,697.20","3,637.10",27.30M,-1.35%
10/6/2016,"3,707.20","3,687.20","3,757.30","3,677.20",22.74M,0.82%
9/6/2016,"3,677.20","3,727.30","3,727.30","3,657.10",27.65M,-0.54%
8/6/2016,"3,697.20","3,677.20","3,747.30","3,657.10",34.72M,1.65%
7/6/2016,"3,637.10","3,556.90","3,637.10","3,556.90",28.41M,2.54%
6/6/2016,"3,546.90","3,587.00","3,677.20","3,536.90",69.10M,-0.56%
3/6/2016,"3,567.00","3,567.00","3,597.00","3,536.90",60.24M,1.14%
2/6/2016,"3,526.90","3,446.70","3,536.90","3,426.70",48.65M,2.33%
1/6/2016,"3,446.70","3,386.60","3,496.80","3,366.60",52.99M,1.78%
31/05/2016,"3,386.60","3,406.60","3,426.70","3,376.60",32.58M,0.00%
30/05/2016,"3,386.60","3,346.50","3,406.60","3,346.50",29.58M,1.50%
27/05/2016,"3,336.50","3,316.50","3,356.50","3,306.40",14.87M,0.30%
